index,Species
45,0
1,0
38,0
7,0
82,1
37,0
108,2
124,2
72,1
127,2
149,2
94,1
5,0
57,1
118,2
141,2
32,0
96,1
56,1
28,0
104,2
22,0
27,0
140,2
112,2
98,1
69,1
26,0
114,2
125,2
83,1
91,1
31,0
110,2
126,2
89,1
122,2
79,1
132,2
78,1
87,1
73,1
4,0
23,0
62,1
75,1
115,2
120,2
59,1
16,0
146,2
102,2
8,0
10,0
74,1
95,1
13,0
24,0
97,1
135,2
33,0
15,0
61,1
77,1
105,2
66,1
119,2
12,0
41,0
137,2
51,1
63,1
11,0
6,0
111,2
93,1
144,2
48,0
80,1
109,2
101,2
53,1
123,2
17,0
71,1
40,0
49,0
148,2
133,2
76,1
107,2
20,0
30,0
25,0
42,0
14,0
58,1
68,1
85,1
143,2
35,0
131,2
2,0
116,2
18,0
92,1
60,1
84,1
70,1
43,0
130,2
138,2
29,0
64,1
52,1
145,2
34,0
117,2
128,2
106,2
